algorithm,final_f,iters_to_convergence,wall_clock_total_s,final_support_size,converged
FW,167.5516748811679,3000,0.12028619996272027,10,did not converge
PFW,167.42365539425967,202,0.016358864028006792,10,yes
PG,167.42405817239325,234,0.010324173839762807,10,yes
