algorithm,final_f,iters_to_convergence,wall_clock_total_s,final_support_size,converged
FW,13.190522347115538,3000,0.9053605515509844,19,did not converge
PFW,13.178824234818443,328,0.09577516024000943,16,yes
PG,15.42386449861484,3000,0.9391056157182902,42,did not converge
