algorithm,final_f,iters_to_convergence,wall_clock_total_s,final_support_size,converged
FW,503.3918895533031,3000,1.4093142015626654,62,did not converge
PFW,501.3153322778516,2959,1.9134934003232047,55,yes
PG,501.63508007199414,995,0.47813309787306935,64,yes
